Focusing on dataset from 201124 to 201127 (each bird wore each headpack once),,,,,,,,,,,
"For determining if usable, I check if they properly land/takeoff on each perch (cant properly check from end2ini when there are obstacles; properly: both legs on perch)",,,,,,,,,,,
"For determining TO frame: visually checking in Nexus, selecting the frame when the head markers dip before jumping off the perch",,,,,,,,,,,
"For determining L frame: visually checking in Nexus, selecting the frame when the head markers dip first time on landing perch. *some of the frame_L_2 seem more like TO frame towards the falconer. It seems it is trials with no food drectly on the perch",,,,,,,,,,,
,,Way around obstacles: INI2END,Way around obstacles: END2INI,,,,,,,,
Trial name,Usable flight INI2END? ,(around-L / around-R / over / other),(around-L / around-R / over / other),Usable flight END2INI*?,Usable BOTH LEGS?,Headpack,Obstacles,frame_TO_1,frame_L_1,frame_TO_2,frame_L_2
201126_Charmander06,yes,,,yes,yes,4m,no,,,,
201126_Charmander07,yes,,,yes,yes,4m,no,,,,
201126_Charmander08,yes,,,yes,yes,4m,no,,,,
201126_Charmander09,yes,around-R,over,yes,yes,4m,yes,,,,
201126_Charmander10,yes,around-R,over/around-L,yes,yes,4m,yes,,,,
201126_Charmander11,"yes, on the second rep",around-R,"over (first), around-L (second)","yes, first and second rep",no,4m,yes,,,,
201126_Charmander12,yes,around-R,around-R,yes,yes,4m,yes,,,,
201126_Charmander13,yes,around-R,over/around-L,yes,yes,4m ,yes,,,,
201126_Charmander14,yes,around-R,over/around-L,yes,yes,4m,yes,,,,
201126_Charmander15,yes,around-R,around-L,yes,yes,4m ,yes,,,,
201126_Charmander16,yes,around-R,over,yes,yes,4m,yes,,,,
201126_Ruby01,yes,,,yes,yes,lmax30ABS,no,,,,
201126_Ruby02,yes,,,yes,yes,lmax30ABS,no,,,,
201126_Ruby03,yes,,,yes,yes,lmax30ABS,no,,,,
201126_Ruby04,yes,,,yes,yes,lmax30ABS,no,,,,
201126_Ruby05,yes,,,yes,yes,lmax30ABS,no,,,,
201126_Ruby06,"yes, jump but both legs touch",,,yes,no,lmax30ABS,no,,,,
201126_Ruby07,yes,,,yes,yes,lmax30ABS,no,,,,
201126_Ruby08,yes,,,yes,yes,lmax30ABS,no,,,,
201126_Ruby09,yes,around-R,around-L,yes,yes,lmax30ABS,yes,,,,
201126_Ruby10,yes,around-R,over,yes,yes,lmax30ABS,yes,,,,
201126_Ruby11,"yes, second rep",around-R,"around-L (first), over (second)","yes,first and second rep",no,lmax30ABS,yes,,,,
201126_Ruby12,yes,around-R,over,yes,yes,lmax30ABS,yes,,,,
201126_Ruby13,yes,around-L,over,yes,yes,lmax30ABS,yes,,,,
201126_Ruby14,yes,around-R,around-R,yes,yes,lmax30ABS,yes,,,,
201126_Ruby15,yes,around-L,around-L,yes,yes,lmax30ABS,yes,,,,
201126_Ruby16,yes,around-R,around-L,yes,yes,lmax30ABS,yes,,,,
201127_Drogon01,yes,,,yes,yes,lmax55,no,,,,
201127_Drogon02,yes,,,yes,yes,lmax55,no,,,,
201127_Drogon03,yes,,,yes,yes,lmax55,no,,,,
201127_Drogon04,yes,,,yes,yes,lmax55,no,,,,
201127_Drogon05,yes,,,yes,yes,lmax55,no,,,,
201127_Drogon06,yes,,,yes,yes,lmax55,no,,,,
201127_Drogon07,yes,,,yes,yes,lmax55,no,,,,
201127_Drogon08,yes,,,yes,yes,lmax55,no,,,,
201127_Drogon09,yes,around-L,around-L,yes,yes,lmax55,yes,,,,
201127_Drogon10,yes,around-L,around-L,yes,yes,lmax55,yes,,,,
201127_Drogon11,yes,around-R,around-R,yes,yes,lmax55,yes,,,,
201127_Drogon12,"yes, second rep",around-R,"around-R (first), around-L (second)","yes, first and second rep",no,lmax55,yes,,,,
